Category,SubCategory,Advice,AdviceContext,SourceLink,SourceType,SourceTitle
Company Culture & Team,Team Development,"In startup secondary sales situations, prevent outsized founder liquidity events that could create organizational inequity and demotivate the team"," ""It's not okay for founders to sell massive amounts of stock when that kind of liquidity isn't available to any other shareholder or employee... that's not a balanced secondary market between buyers and sellers; that's a targeted, exclusive purchase to sway a big decision-maker.""",https://www.threshold.vc/podcast/the-case-of-the-secondary-showdown/,Podcast, The Case of the Secondary Showdown
Acquisition & Exit Strategy,General,"When managing secondary stock sales in a startup, prepare for and address the inherent emotional reactions from all stakeholders involved"," ""When you want to sell your shares, it's prudent financial management. But when anyone else wants to sell their shares, it's an insult to the company... no matter how reasonable everything I've said may be, secondaries always seem to bring out emotions.""",https://www.threshold.vc/podcast/the-case-of-the-secondary-showdown/,Podcast, The Case of the Secondary Showdown
Business Strategy & Pivots,Market Adaptation,"When considering adding family members to your startup workforce, evaluate their specific qualifications and business needs rather than relying on family ties alone"," ""Relatives may be put in positions they don't merit due to familial pressure, meaning that not only will your culture take another hit, but work that needs to get done maybe won't be done well. And startups usually can't afford to carry anyone who's not fully contributing.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Business Strategy & Pivots,General,"Before starting a family business venture, ensure all parties have aligned motivations and goals to prevent future conflicts"," ""Funny, I thought I knew my brother so well, but it had never occurred to me until then that he and I had very different motivations for doing this whole startup thing in the first place.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Company Culture & Team,Employee Management,"When hiring family members in a startup, recognize how pre-existing family power dynamics can undermine normal professional relationships and reporting structures"," ""If you have a family relationship with someone else, you will also have a pre-established power dynamic. These power dynamics have probably been with you your whole life, and they're hard to break. Sometimes, you don't even see how they're affecting you, but other people do.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Company Culture & Team,Culture Building,"When employing family members in startups, understand how preferential treatment of relatives can damage company culture and employee morale"," ""Behavior that would not be tolerated in a regular employee may be tolerated in a family member, creating an environment in which some people unfairly have it better than others. Relatives may be put in positions they don't merit due to familial pressure.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Company Culture & Team,Employee Management,"Before hiring family members into your startup, establish detailed written boundaries and expectations to maintain professional working relationships"," ""When you hire a family member as an employee, your relationship must conform to the norms that would be expected as co-workers, not as family. And if you can't live by that rule, don't work together.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Leadership & Decision Making,Board Composition,"To maintain objectivity when employing family members in startups, assign non-family management oversight to prevent conflicts of interest"," ""If at all possible, put someone else in charge of managing that person and promise to keep yourself out of all decision-making with respect to the role.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Company Culture & Team,Employee Management,"When integrating family members into your startup workforce, implement strict protocols for separating personal and professional communications"," ""No work talk outside the office or outside of what would be normal between the CEO and a person in [the family member's] position.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Company Culture & Team,Employee Management,"To protect company confidentiality when working with family members, establish clear guidelines about information sharing to prevent inappropriate disclosure"," ""Family members often have patterns of communication that supersede what would be appropriate in a work situation. You might not tell someone in shipping about some big secret deal that you're working on - but you might tell your mom. And then, unfortunately, she might tell someone else at your company.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Leadership & Decision Making,Strategic Decision Making,"When performance issues arise with family employees in startups, be prepared to make difficult personnel decisions despite personal relationships"," ""For the good of the company and my own sanity, I had to fire my own mother. I talked to my brothers first, who were no longer involved with the company but were still, of course, my mother's children... Even with all this accommodation, my mom was hurt, and the whole process was painful. But it had to be done.""",https://www.threshold.vc/podcast/the-case-of-the-nepo-nightmare/,Podcast, The Case of the Nepo Nightmare
Legal & Equity Structures,Legal Agreements,"When creating startup advisory relationships, address intellectual property rights and exclusivity requirements upfront in written agreements"," ""You'll want to cover the intellectual property rights if your advisor is going to be involved in any technical advising. If exclusivity is important to you, that is, if you don't want your advisor showing up on the pitch decks of your competition, you'll want to pin that down as well.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Governance & Board Management,General,"When managing advisory boards for early-stage startups, focus on individual relationships rather than group dynamics"," ""From my experience, especially for early-stage companies, you get far more from an advisor if you craft the expectations individually for each advisor and then manage those expectations one-on-one as time progresses.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Legal & Equity Structures,Legal Agreements,"When establishing startup advisory relationships, create detailed written agreements that specify exact deliverables and expectations to prevent misalignment"," ""Miles should explicitly define the elements of an advisor relationship in terms of what specific help would be expected right up front. So many approaches are so loose, like, 'Oh, just generally be helpful when I ask.' But I think that's a recipe for mismatched expectations and ultimate failure.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Legal & Equity Structures,Legal Agreements,"In startup advisor agreements, clearly document time commitments, travel requirements, and all logistical expectations to avoid future disputes"," ""Even the more mundane, logistical stuff should also be discussed in advance and captured in writing. Is the Professor expected to spend, say, three days a month working on the company? Is he required to spend some time on-site? Is he expected to travel for the company?""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Legal & Equity Structures,Legal Agreements,"When bringing on startup advisors, start with 6-month agreements to evaluate effectiveness before making longer commitments"," ""Until you learn how well you work together and how much value they'll bring, I'd go for something short, like six months. Then you have a built-in 'out' if you're not seeing the value you expected.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Legal & Equity Structures,Employee Equity,"When determining startup advisor compensation, use a structured calculation based on market consulting rates multiplied by time commitment and risk factors"," ""First, find out the advisor's typical billable time rate for consulting... multiply that by the time you expect them to spend per month to get the dollar amount that you'd pay them per month if you were doing this in cash. Now, multiply that number by four [to account for the risk and illiquidity of equity compensation].""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Fundraising & Finance,Investment Strategy,"To maintain legal compliance in startup fundraising, understand that compensating individuals for investor introductions requires proper broker-dealer registration"," ""If you hire someone to raise funds for you and you compensate them with a percentage of the funds raised, whether in cash or equity, that's not an advisor; that's a broker... anyone offering to introduce you to investors in return for a commission or a finder's fee is breaking the law unless they're a registered broker/dealer.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Legal & Equity Structures,Legal Agreements,"When managing startup advisory relationships, establish monthly check-ins and clear communication protocols to maximize value"," ""Most advisors are more responsive than proactive, at least in the beginning, because you know more about what you want than they do. So be sure you set aside time in the beginning, and then at least monthly, to check in, review what's been accomplished, and ask for what you'd like to see next.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Fundraising & Finance,Investment Strategy,"Before engaging startup advisors who will be publicly associated with your company, conduct thorough background checks and reference calls"," ""Bringing on an advisor is not that different from bringing on an employee. You should first be doing your due diligence on them, including reference checks, especially if you're going to post them on your website and include them in your pitch deck.""",https://www.threshold.vc/podcast/the-case-of-the-ace-advisor/,Podcast, The Case of the Ace Advisor
Fundraising & Finance,Investment Strategy,"When presenting startup metrics, avoid using non-standard accounting terms or creative data manipulation that could mislead investors"," ""I've seen more than a few pitch decks where non-standard accounting terms are used instead of the standard ones. This is usually done to make the numbers look better - because the standard ones would have made them look bad.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Leadership & Decision Making,Executive Leadership,"When experiencing startup difficulties, proactively discuss challenges with your leadership team to prevent ethical compromises"," ""Work openly with your leadership team to talk about these cases, and how you all can create a culture that wouldn't support actions like these. And remember, culture without aligned action is just a bunch of hot air.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Company Culture & Team,Culture Building,"When facing startup challenges, understand how small ethical compromises can gradually escalate into serious fraudulent behavior"," ""Once someone takes a bunch of steps like these, it might not be that hard for them to take that next step. The one that does cross the big line. They might fake financial data, use false references, or makeup user stats. And all that is definitely fraud.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Fundraising & Finance,General,"When analyzing startup fraud cases, recognize that most founders begin with good intentions before financial pressures lead to deceptive practices"," ""With a few rare exceptions, the vast majority of people facing criminal indictment over their actions as entrepreneurs didn't originally set out to steal money or deceive anyone... when they ran into difficulties, they started to color outside the lines to keep their dream alive.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Governance & Board Management,Board Strategy,"To prevent fraudulent behavior in startups, implement professional accounting practices and strong board oversight from the beginning"," ""Doing things like using professional, industry-standard accounting, putting in proper financial controls, having governance by an engaged and effective board, and seeking good legal counsel for advice before you do something, not after - all these things can help keep you from courting disaster.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Company Culture & Team,Culture Building,"When building startup culture, reinforce honest communication through consistent actions and supportive responses to negative news"," ""If you don't support a cultural tenet with action and reinforcement, it's not actually an element of your culture... CEOs say they want nothing but honesty, but then they bite the head off anyone who delivers results that don't meet their needs or expectations.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Business Strategy & Pivots,General,"When operating a startup, understand that business failure is a common outcome that doesn't justify unethical behavior to stay afloat"," ""In fact, it happens a lot, like nine times out of ten for seed stage companies and something like 40% even for series A companies... It's not fraudulent to go out of business - as long as you didn't commit fraud along the way.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Fundraising & Finance,General,"When communicating with startup investors, maintain complete transparency about challenges to build trust and avoid suspicion"," ""When I discover all the not-so-pretty stuff after investing a bunch of time, it makes me feel like the entrepreneur was trying to hide things on purpose. And that makes me wonder, 'what else are they hiding?' This doesn't make me want to work with the entrepreneur - it makes me want to run.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Company Culture & Team,Culture Building,"When facing startup difficulties, prioritize maintaining your professional reputation over attempting to save a failing company through deceptive means"," ""If you stay on the path of honor, at least from what I've seen, your reputation will stay intact. That's the most important thing you have as far as I'm concerned.""",https://www.threshold.vc/podcast/the-case-of-the-fraudulent-founder/,Podcast, The Case of the Fraudulent Founder
Fundraising & Finance,Capital Planning,"When considering alternatives to traditional venture capital governance, understand that bootstrapping as a sole proprietor limits both growth potential and talent attraction"," ""He can bootstrap his company as sole proprietor and be beholden to no one. Of course, depending on the kind of company he wants to start, like a capital-intensive one that makes a complicated hardware product, this may be impossible. And it might be hard to attract employees if there's no shot at equity rewards for anyone else.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Fundraising & Finance,General,"When evaluating startup success factors, recognize that maintaining absolute founder control often comes at the cost of maximum financial returns"," ""As Noam Wasserman laid out in his excellent article, The Founder's Dilemma, you can be rich, or you can be king, but it's hard to be both - and he presents a whole bunch of evidence to support that.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,Board Strategy,"When choosing early startup governance structures, understand that accountability and transparency are crucial for attracting top talent, investments, and customers"," ""Employees want to work for a place they can trust and can benefit financially from through equity. Investors want to put their money where it won't be misused. Customers want to buy from a company they can depend on.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,Board Strategy,"When raising venture capital as a startup founder, understand that accepting board oversight and governance is a fundamental requirement rather than an optional feature"," ""For Chester, it comes down to the simple calculus that if he wants investment capital, he's going to have to agree to governance. So, he may as well make the best of it.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,General,"When structuring startup governance, implement proper board processes and documentation to protect both the company and its leaders during major decisions"," ""For any big decision like M&A or a fundraise, having a number of people following good governance processes, including good documentation of those processes, means that you should not only be making the best decisions but also have a strong defense if things get questioned in the future.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,Board Strategy,"Rather than viewing startup board members solely as oversight, leverage them as experienced advisors who can provide high-level strategic guidance without compensation"," ""In my experience, the best investor board members are like high-level employees that you don't even have to pay.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,Board Composition,"When selecting board members for your startup, understand that their legal duties require them to protect all shareholders equally, not just their own interests"," ""Board seats, even for investor directors, require what's called 'duty of care' and 'duty of loyalty.' These are obligations they must fulfill on behalf of ALL your shareholders - not just the shares that the investor owns.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,Board Composition,"When establishing an early-stage board structure, consider adding independent directors to create balanced perspectives between founders and investors"," ""He asked that instead of his board being just himself and the VC, he wanted to add a third seat for an independent director, who would be mutually decided on by the two of them.""",https://www.threshold.vc/podcast/the-case-of-the-infallible-founder/,Podcast, The Case of the Infallible Founder
Governance & Board Management,General,"When determining the timing for adding independent directors to your startup board, implement them early rather than waiting until a crisis"," ""But you can't form a committee of independents if you don't have any. And if you're already in the heat of something like this, it's pretty much too late to bring them on. Not impossible, but it's sub-optimal to have people brand new to your company suddenly in charge of a transaction so big and important.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,General,"When establishing compensation committees for your startup, consider having independent directors serve as chairs to ensure objectivity"," ""I've chaired a number of comp committees myself, and I think I've done a good job - but I've also been on many committees chaired by independent directors, and I have to admit, their independence can give the investors, the founders, and the employees extra comfort that they're being objective.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,Investor Relations,"When managing founder-investor relationships, recognize that independent directors can serve as neutral sounding boards for sensitive issues"," ""For many entrepreneurs, they find it hard to lean on their investor directors about some of their personal struggles, or use them as a sounding board, because in the back of their minds they're always thinking, 'I need this person's fund to support my next financing'.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,General,"When structuring a startup board, include independent directors who have no financial or professional ties to the company to ensure truly unbiased decision-making"," ""Independent directors are exactly what it sounds like they are. They're directors who have no other affiliation with your company - they're not employees, they're not investors, and they don't do any other form of business with your company either.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,General,"When managing complex transactions like M&A in a startup, utilize independent directors to lead special committees that handle decisions involving conflicts of interest"," ""If you have one, or even better two, use your non-conflicted directors to lead the M&A process. This is often done by forming a special committee of only non-conflicted directors to be the first line of consideration for any transaction.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,Board Communication,"When selecting independent directors for a startup board, prioritize candidates who aren't beholden to external stakeholders or reporting obligations"," ""Independent directors don't report to anyone in a boss sense, nor in an informational sense. Their only job is to be a voice representing what's best for the company and all its shareholders.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,Board Composition,"When recruiting independent directors for your startup board, seek individuals who bring specific expertise relevant to your company's growth stage or industry"," ""The expectation is that board members are not just there to govern - they're there to help. So, I'd focus on finding people who can not only do that governance job but who will also bring additional superpowers to your company.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Governance & Board Management,Capital Planning,"When building a startup board dominated by venture capitalists, use independent director positions to introduce diverse perspectives and experiences"," ""Not to demean my industry, but the VC world is not exactly a bastion of diversity. If your board members are all a little too much alike, the independent seat gives you a chance to improve on that.""",https://www.threshold.vc/podcast/the-case-for-the-independent-director/,Podcast, The Case for the Independent Director
Fundraising & Finance,Investment Strategy,"When managing startup cash positions between funding rounds, understand that planned cash burn can negatively impact 409a valuations despite being strategically sound"," ""Let's assume that you raised a round 12 months ago and you don't plan to raise again for another 18 months. If you're still in your growth phase, it's likely that during the past 12 months, you've burned through some of that capital to fuel your growth. After all, that's why you raised it in the first place. But even though you did that by design, less money in the bank is usually a negative drag on a 409a.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Fundraising & Finance,Investment Strategy,"When analyzing the comprehensiveness of 409a valuations, recognize that the low cost of these valuations limits their depth"," ""All these things the accountants will do sound like a lot of work, right? So, you'd think you'd have to pay a lot of money to them to do all that. But actually, if you're a super early-stage company, you can hire an accountant to do a 409a valuation for less than a thousand dollars.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Fundraising & Finance,Investment Strategy,"When communicating with employees about 409a valuations, proactively explain the specific factors driving any changes"," ""Since a 409a drop can usually be explained by a few primary data points, Alyssa should ask her accountant to summarize the biggies that affected hers because sometimes it's a bit hard to tell in the resulting report. And she might want to share these with her team, too.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Fundraising & Finance,Investment Strategy,"When evaluating your startup's 409a valuation, recognize that it primarily serves as an IRS compliance mechanism for stock option pricing rather than reflecting true market value"," ""This process was invented to keep executives from gaming the tax consequences of deferred compensation - not to create a price for what your common shares are really worth should you want to sell them to someone else right now.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Company Culture & Team,Culture Building,"When assessing your startup's 409a valuation, understand that it excludes crucial value drivers such as leadership quality, team capabilities, and intellectual property potential"," ""Stuff like the vision and leadership of the founder. The quality of the team. Where you are in your R&D, and the true potential value of your intellectual property... much of your secret sauce is not even considered in your 409a valuation.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Legal & Equity Structures,Employee Equity,"When facing a decrease in your startup's 409a valuation, reframe it as an opportunity to offer more attractive equity compensation packages to employees"," ""A 409a drop is like putting a discount tag on something you really wanted to buy anyway. You're still going to get it, but now you get it at a lower price.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Business Strategy & Pivots,Pivot Management,"When interpreting changes in your startup's 409a valuation, recognize that broader market conditions often drive valuations more than company-specific performance"," ""For example, let's say public SaaS companies used to trade at about 10 times revenue, and now they're trading at about seven times revenue. That will lower the 409a's of all startups in the SaaS world - regardless of how well or poorly any individual one is doing.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Fundraising & Finance,Investment Strategy,"When discussing 409a valuation changes with your startup team, emphasize that the valuation methodology doesn't capture the company's strategic potential or competitive advantages"," ""Alyssa should emphasize what it is not - it's not an assessment of their team, their prospects, or their competitive position with respect to other startups. Nor an assessment of their chance to disrupt the industry they're aiming at.""",https://www.threshold.vc/podcast/the-case-of-the-409a-freak-out/,Podcast, The Case of the 409a Freak-out
Fundraising & Finance,General,"Before making any decisions about stock options and company loans, consult with qualified tax professionals due to the complexity of tax implications"," ""Tax laws are complex, and they change all the time. There are different kinds of options, which may be treated differently by the IRS in terms of how and when the taxes would be determined... So please don't rely only on what I say to make your decisions about stock options.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Legal & Equity Structures,Employee Equity,"When evaluating borrowing against already-owned restricted stock, understand both SEC regulations and tax implications"," ""Depending on the form of restriction, the IRS won't be the only government agency to take an interest in you. These types of transactions might end up in violation of SEC rules, too. So definitely consult with a good tax professional and a good securities lawyer.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Fundraising & Finance,General,"When evaluating interest-free company loans for exercising startup stock options, understand the hidden financial obligations that persist regardless of share value"," ""The money the company lent you, which you immediately gave back to exercise your options, is still money that was lent to you, and it needs to be paid back eventually.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Fundraising & Finance,General,"In situations where a startup forgives loans used to exercise options, prepare for significant tax consequences even if the underlying shares become worthless"," ""The IRS has a name for forgiven loans. They call them - ordinary income... each of these people had $200,000 of phantom income they had to report and pay ordinary income tax on, for which they had no money and no shares of any value to sell.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Fundraising & Finance,General,"When considering loans from your startup to exercise options, understand the full-recourse nature of these agreements and their potential impact on your personal assets"," ""If the asset you bought with the money ends up not being worth the money you borrowed, the lender can come after your other assets in order to satisfy the debt.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Acquisition & Exit Strategy,Acquisition Strategy,"Before exercising startup stock options with borrowed money, understand the subordinate position of common shares in acquisition scenarios and the risk of total loss"," ""If a company sells while it's still private, which most companies do, preferred shares are in line ahead of your common shares for the proceeds... many companies are not big hits. In my 25 years as a VC, I've seen many situations where companies end up selling for less than the total money they raised - resulting in the common shares becoming worthless.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Fundraising & Finance,General,"When deciding whether to exercise startup stock options early for tax benefits, evaluate the complete financial risk profile of exercised versus unexercised options"," ""With unexercised stock options, the worst financial pain you can have is that they end up being worthless, so you end up with no gain. But with exercised options, the worst financial pain you can have is that not only might the stock go to zero, the cash you used to exercise those options is also gone.""",https://www.threshold.vc/podcast/the-case-of-the-dubious-debt/,Podcast, The Case of the Dubious Debt
Business Strategy & Pivots,Strategic Planning,"When considering winding down a struggling startup with promising new products, evaluate the option to buy out specific assets"," ""Another option for the entrepreneur is to simply wind the company down and bid to buy out the new product in the closing process if they want to continue to pursue it... where we agree to a wind-down of the company or a sale of its main assets but then agree to let the entrepreneur buy out the residual interest in the IP.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Governance & Board Management,Capital Planning,"When implementing a recapitalization, understand the process requires both board approval and shareholder votes"," ""There's normally a process that lays out for those investors what the terms of the recap will be and what will happen to the company if it doesn't get this financing done - which is usually a wind-down. Then, there's usually a shareholder vote to approve the recap.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Capital Planning,"During a recapitalization, prepare for potential impact on employee morale and customer confidence"," ""The recap may also signal instability or trouble to your employees or even your customers. So yeah, lots of issues here to navigate.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Investment Strategy,"When facing a recapitalization offer in your startup, recognize it as a sign of serious company challenges that will fundamentally alter existing investment terms"," ""A recapitalization, in its simplest definition, is a financing that forces a change in the terms of the debt and equity that came before it... it only happens in challenging situations.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Investment Strategy,"Before accepting a recapitalization deal for your startup, understand how it will impact your cap table through dilution and preference changes"," ""The basics of a recap work like this: a new investor agrees to put in money, usually at a lower valuation than the last round, and sometimes at a much lower valuation than the last round - but only if the prior investors give up some or all of their preferences.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Capital Planning,"When evaluating a recapitalization offer for your struggling startup, thoroughly explore alternative financing options including bridge loans from existing investors"," ""A competitive offer from existing insiders is usually in the form of a bridge loan to allow the company to grow more and then to go back to market again when there's more progress in the new direction.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Capital Planning,"During startup recapitalization negotiations, ensure comprehensive legal documentation and proper process to prevent future litigation"," ""Recaps are complicated and fraught with the potential for lawsuits after the fact, so make absolutely sure you get everything right.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Investor Relations,"When implementing a startup recapitalization that affects friends and family investors, maintain strict equal treatment of all shareholders regardless of personal relationships"," ""One of the cardinal rules is that you can't treat some shareholders differently from others just because you like them more or because they're your family.""",https://www.threshold.vc/podcast/the-case-of-the-radical-recapitalization-(recap)/,Podcast, The Case of the Radical Recapitalization (Recap)
Fundraising & Finance,Investment Strategy,"When evaluating early-stage investment structures, consider using SAFEs (Simple Agreement for Future Equity) to delay equity pricing until after building more value"," ""A SAFE is basically debt that will convert into equity once you do a larger priced round - after you've made more progress and built some enterprise value - in part by using the money that the SAFE provides.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,General,"When accepting SAFE investments for your startup, carefully calculate the eventual dilution impact despite the delayed pricing"," ""SAFEs will ultimately turn into shares of stock, and hence dilution, so you still need to understand how the SAFE converts into equity and the ultimate dilution range you are signing up for by taking that SAFE money in the first place.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,Investment Strategy,"When evaluating signed term sheets, understand they are reputationally binding despite usually being legally non-binding"," ""Even a written and signed term sheet is usually non-binding, so there's no guarantee that you'll get your financing done even if you've signed one. But while term sheets are not legally binding, they're reputationally binding on both sides.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,Investment Strategy,"During the period between receiving a term sheet and signing it, prepare for intense negotiations within a compressed timeframe"," ""Most VCs don't want to leave term sheets just hanging out there, so they'll often include an expiration date that may only be a few days from the issue date... This usually takes about a week or two and can be as fast as a day or two, depending on how competitive things are.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,Investment Strategy,"When negotiating startup investment terms, require written documentation of all commitments and never accept verbal term sheets"," ""There's no such thing as a verbal term sheet. That doesn't mean anything. The whole point of a term sheet is to lay out, in relatively detailed written form, the main terms of an investment offer.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,Investment Strategy,"During startup fundraising negotiations, maintain flexibility by refusing exclusivity demands before receiving a detailed written term sheet"," ""How could Rudy possibly commit to exclusivity when he doesn't have a firm offer that lays out the stuff that term sheets usually cover - like amount, valuation, preference structure.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,Investment Strategy,"When structuring early-stage startup funding rounds, maintain sufficient equity for future rounds by limiting initial investor ownership"," ""For the more typical seeds I'm seeing today, say one to five million dollars - the general guideline is that you don't want to be giving up more than about twenty percent of your company in the round.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
Fundraising & Finance,General,"When beginning the startup fundraising process, prepare for an extended timeline and high volume of investor meetings before securing a term sheet"," ""At Threshold, each of our investors will make two, maybe three, new investments a year... if we take something like fifty meetings for every investment we make, it makes sense that any entrepreneur out fundraising may likewise talk to fifty investors before they get a term sheet.""",https://www.threshold.vc/podcast/the-case-of-the-verbal-term-sheet/,Podcast, The Case of the Verbal Term Sheet
